n,canonical,canonical_time,ilp,ilp_time,greedy,greedy_time,crank_algorithm,crank_algorithm_time,local_sat,local_sat_time,canonical_correct,ilp_correct,greedy_correct,crank_algorithm_correct,local_sat_correct
10,False,0.05876564979553223,False,0.6706089973449707,False,0.1415870189666748,False,1.6286356449127197,False,0.05286431312561035,True,True,True,True,True
10,True,0.003989696502685547,True,0.06955933570861816,True,0.0009882450103759766,True,0.038895606994628906,False,0.04388618469238281,True,True,True,True,False
10,True,0.004983425140380859,True,0.08345484733581543,True,0.000997304916381836,True,0.35608363151550293,True,0.0019943714141845703,True,True,True,True,True
10,True,0.004987001419067383,True,0.04846954345703125,True,0.0019943714141845703,True,0.9564485549926758,False,0.035906076431274414,True,True,True,True,False
10,True,0.004949808120727539,True,0.09569525718688965,True,0.0010304450988769531,True,1.2945377826690674,False,0.04883408546447754,True,True,True,True,False
11,True,0.00405573844909668,True,0.06244492530822754,True,0.0,True,1.5638465881347656,False,0.11768054962158203,True,True,True,True,False
11,True,0.0069811344146728516,True,0.062835693359375,True,0.0020294189453125,False,3.5704092979431152,False,0.06888771057128906,True,True,True,False,False
11,True,0.003988504409790039,True,0.04981517791748047,True,0.00099945068359375,,,False,0.06981110572814941,True,True,True,False,False
11,False,0.003993034362792969,False,0.17078423500061035,False,0.04390597343444824,,,False,0.02892327308654785,True,True,True,False,True
11,True,0.004956722259521484,True,0.05070328712463379,True,0.001024007797241211,,,False,0.05289864540100098,True,True,True,False,False
12,True,0.00498652458190918,True,0.0935819149017334,True,0.0019941329956054688,,,False,0.12766051292419434,True,True,True,False,False
12,True,0.015958309173583984,True,0.0667412281036377,True,0.0,,,True,0.03098464012145996,True,True,True,False,True
12,False,0.004987478256225586,False,0.19815492630004883,False,0.056847572326660156,,,False,0.04192352294921875,True,True,True,False,True
12,True,0.004987001419067383,True,0.053897857666015625,True,0.0010251998901367188,,,False,0.03790545463562012,True,True,True,False,False
12,False,0.007978677749633789,False,0.1857748031616211,False,0.0528566837310791,,,False,0.06084084510803223,True,True,True,False,True
13,True,0.004985332489013672,True,0.14053845405578613,True,0.0010368824005126953,,,False,0.13064813613891602,True,True,True,False,False
13,False,0.0049896240234375,False,0.29212093353271484,False,0.08179545402526855,,,False,0.05086803436279297,True,True,True,False,True
13,True,0.004991292953491211,True,0.05383110046386719,True,0.002031087875366211,,,True,0.06685280799865723,True,True,True,False,True
13,True,0.0049896240234375,True,0.06253409385681152,True,0.005984306335449219,,,False,0.07187485694885254,True,True,True,False,False
13,True,0.004986763000488281,True,0.12271785736083984,True,0.0,,,False,0.07081079483032227,True,True,True,False,False
14,True,0.014966726303100586,True,0.11830329895019531,True,0.0060520172119140625,,,False,0.05181455612182617,True,True,True,False,False
14,True,0.007995843887329102,True,0.06449127197265625,True,0.0,,,False,0.14663457870483398,True,True,True,False,False
14,False,0.004987001419067383,False,0.19051456451416016,False,0.09880208969116211,,,False,0.04288625717163086,True,True,True,False,True
14,True,0.005984783172607422,True,0.06789374351501465,True,0.0010237693786621094,,,False,0.04289388656616211,True,True,True,False,False
14,True,0.005983114242553711,True,0.07887697219848633,True,0.0010247230529785156,,,False,0.05190300941467285,True,True,True,False,False
15,True,0.015935420989990234,True,0.11209249496459961,True,0.0029931068420410156,,,False,0.08376312255859375,True,True,True,False,False
15,True,0.0259246826171875,True,0.31713104248046875,True,0.0009975433349609375,,,False,0.09873723983764648,True,True,True,False,False
15,True,0.011965274810791016,True,0.1807422637939453,True,0.0019941329956054688,,,False,0.12666106224060059,True,True,True,False,False
15,True,0.020948171615600586,True,0.14271950721740723,True,0.0010671615600585938,,,False,0.10967659950256348,True,True,True,False,False
15,True,0.005978584289550781,True,0.07793593406677246,True,0.005025386810302734,,,False,0.17054033279418945,True,True,True,False,False
16,True,0.0059833526611328125,True,0.08388495445251465,True,0.007021665573120117,,,False,0.09810376167297363,True,True,True,False,False
16,False,0.004986286163330078,False,0.25854945182800293,False,0.10972285270690918,,,False,0.07378530502319336,True,True,True,False,True
16,False,0.004987001419067383,False,0.2963125705718994,False,0.12667584419250488,,,False,0.1934506893157959,True,True,True,False,True
16,True,0.005983829498291016,True,0.11285901069641113,True,0.005028486251831055,,,False,0.15757274627685547,True,True,True,False,False
16,True,0.005993843078613281,True,0.08026885986328125,True,0.0020618438720703125,,,False,0.08577108383178711,True,True,True,False,False
17,True,0.007978677749633789,True,0.07820367813110352,True,0.028990507125854492,,,False,0.08475327491760254,True,True,True,False,False
17,True,0.00993037223815918,True,0.07265353202819824,True,0.005022764205932617,,,False,0.1097249984741211,True,True,True,False,False
17,True,0.02987504005432129,True,0.17662715911865234,True,0.0009982585906982422,,,False,0.061873674392700195,True,True,True,False,False
17,False,0.01093602180480957,False,0.26012635231018066,False,0.18471527099609375,,,False,0.0967111587524414,True,True,True,False,True
17,True,0.004986286163330078,True,0.06528687477111816,True,0.003026723861694336,,,False,0.06984639167785645,True,True,True,False,False
18,False,0.006912946701049805,False,0.38175201416015625,False,0.14362406730651855,,,False,0.15558266639709473,True,True,True,False,True
18,False,0.006973981857299805,False,0.4557175636291504,False,0.1446514129638672,,,False,0.17275667190551758,True,True,True,False,True
18,True,0.008971929550170898,True,0.09015727043151855,True,0.004057407379150391,,,False,0.16951417922973633,True,True,True,False,False
18,True,0.0069463253021240234,True,0.051007747650146484,True,0.0,,,False,0.15651321411132812,True,True,True,False,False
18,False,0.005984067916870117,False,0.49100279808044434,False,0.170684814453125,,,False,0.10767960548400879,True,True,True,False,True
