n,canonical,canonical_time,ilp,ilp_time,greedy,greedy_time,crank_algorithm_time,local_sat,local_sat_time,canonical_correct,ilp_correct,greedy_correct,crank_algorithm_correct,local_sat_correct
35,0.2,0.012969684600830079,0.2,0.6378028869628907,0.0,0.5111615180969238,,0.0,0.2675421714782715,1.0,1.0,0.8,0.0,0.8
36,0.8,0.014751195907592773,0.8,0.37464728355407717,0.2,0.5378858566284179,,0.0,0.3752194881439209,1.0,1.0,0.4,0.0,0.2
37,0.4,0.02453503608703613,0.4,0.59951810836792,0.4,0.6448884010314941,,0.0,0.4342322826385498,1.0,1.0,1.0,0.0,0.6
38,1.0,0.014766740798950195,1.0,0.4336648464202881,1.0,0.268311071395874,,0.0,0.5309727191925049,1.0,1.0,1.0,0.0,0.0
39,0.6,0.01974062919616699,0.6,0.5912703990936279,0.4,0.6642355442047119,,0.0,0.6442851066589356,1.0,1.0,0.8,0.0,0.4
40,0.2,0.023353004455566408,0.2,1.3554081916809082,0.0,1.0282538414001465,,0.0,0.6931456089019775,1.0,1.0,0.8,0.0,0.8
41,0.6,0.024343109130859374,0.6,0.65914306640625,0.2,0.8762714385986328,,0.0,0.6065607070922852,1.0,1.0,0.6,0.0,0.4
42,0.8,0.02513465881347656,0.8,0.4709462642669678,0.6,0.7007242679595947,,0.0,0.7531883239746093,1.0,1.0,0.8,0.0,0.2
43,0.6,0.02373671531677246,0.6,0.9090259075164795,0.2,1.0715614318847657,,0.0,0.607179069519043,1.0,1.0,0.6,0.0,0.4
44,0.8,0.026927947998046875,0.8,0.9519179821014404,0.4,0.9137858390808106,,0.0,0.7467951297760009,1.0,1.0,0.6,0.0,0.2
45,0.6,0.020753955841064452,0.6,0.5619842529296875,0.4,0.6971663951873779,,0.0,0.5896280765533447,1.0,1.0,0.8,0.0,0.4
46,0.2,0.014761209487915039,0.2,0.8143511295318604,0.0,0.7049423217773437,,0.0,0.45875086784362795,1.0,1.0,0.8,0.0,0.8
47,0.8,0.017558574676513672,0.8,0.27301907539367676,0.6,0.6289103507995606,,0.0,0.46335406303405763,1.0,1.0,0.8,0.0,0.2
48,0.6,0.02034626007080078,0.6,0.45714144706726073,0.4,0.6068126678466796,,0.0,0.4522158145904541,1.0,1.0,0.8,0.0,0.4
49,0.8,0.016754913330078124,0.8,0.30094470977783205,0.2,0.7825175762176514,,0.0,0.4372373580932617,1.0,1.0,0.4,0.0,0.2
